"R_Med";"I_Med";"Energia";"Punti";"Ravv";"R_Fin";"R_Max";"R_Min";"T_Max";"T_Min";"Indice_Spruzzo";"T_Spruzzo"
279,24;8,53;4489,39;7385;73;270,73;286,71;266,4;96;39;0;0
277,71;8,56;4473,88;7401;73;272,27;286,43;262,8;137;40;0;0
269;8,49;4386,09;7417;74;256,18;288,92;286,9;63;34;7;124
279,43;8,5;4440,05;7433;74;269,11;290,23;282,7;73;40;0;0
280,15;8,51;4584,4;7449;74;271,51;291,12;272,7;93;34;0;0
279,06;8,53;4507,58;7465;74;270,83;288,62;268,6;104;38;0;0
278,96;8,54;4534,51;7481;74;271,59;288,21;267,9;116;37;0;0
278,1;8,54;4466,93;7497;74;272,27;286,38;264,4;125;40;0;0
278,27;8,5;4502,78;7513;75;268,15;291,03;288,4;45;36;0;0
280,82;8,5;4504,98;7529;75;269,97;292,94;284,8;71;38;0;0
281,35;8,51;4585,26;7545;75;272,37;292,55;274,8;94;35;0;0
280,78;8,52;4581,61;7561;75;272,55;290,89;271,1;111;35;0;0
274,07;8,5;4460,45;7577;75;262,01;292;269,8;108;35;7;143
274,75;8,52;4410,89;7593;75;260,86;291,62;271,2;122;39;6;152
278,92;8,5;4574,62;7609;76;267,1;291,19;286,2;55;33;0;0
280,57;8,49;4575,92;7625;76;270,74;292,66;281,6;70;34;0;0
281,35;8,51;4549,43;7641;76;271,79;291,98;273,6;83;37;0;0
281,52;8,52;4575,97;7657;76;272,37;291,59;271,7;105;36;0;0
282,07;8,51;4514,91;8240;82;272,84;291,25;277,1;85;39;0;0
281,18;8,53;4543,65;8256;82;273,52;290,04;270,8;112;38;0;0
280,17;8,53;4550,39;8272;82;273,13;287,48;269,4;116;37;0;0
281,45;8,52;4539,15;8288;82;274,09;288,99;268,2;101;38;0;0
279,15;8,49;4571,91;8304;83;268,34;291,35;286,3;61;33;0;0
280,87;8,5;4483,89;8320;83;269,49;293,52;281,7;71;39;0;0
275,72;8,5;4501,17;8336;83;261,64;295,26;278,9;80;34;6;137
274,88;8,51;4457,08;8352;83;261,15;292,86;273,6;92;36;8;146
281,99;8,52;4546,35;8368;83;272,55;292,44;272;107;38;0;0
274,93;8,52;4350,13;8384;83;261,35;291,59;271,8;112;42;6;151
275,85;8,51;4395,11;8400;83;262,1;290,61;268,9;116;40;7;163
279,3;8,49;4614,36;8416;84;267,38;292,66;289;64;31;0;0
280,76;8,5;4482,39;8432;84;269,39;292,94;281,3;72;39;0;0
281,84;8,5;4524,01;8448;84;271,51;293,14;275,1;95;38;0;0
274,03;8,52;4476,5;8464;84;260,2;290,92;271,4;112;35;6;149
274,37;8,53;4472,88;8480;84;260,2;290,77;270,7;112;36;7;157
273,75;8,52;4418,66;8496;84;259,43;288,94;268,4;124;38;7;168
279,08;8,49;4630,8;8512;85;268,05;293,08;289,4;55;30;0;0
280,63;8,5;4544,65;8528;85;268,34;293,96;283;75;36;0;0
281,42;8,52;4591,83;8544;85;271,12;293,28;277,1;91;35;0;0
274,27;8,51;4430,72;8560;85;259,92;291,87;272,5;99;37;8;149
274,73;8,51;4443,91;8576;85;261,15;292,16;269,9;113;37;8;153
275,03;8,51;4402,77;8592;85;260,37;292,44;270,9;118;39;8;157
278,4;8,49;4414,59;8608;86;267,77;291,64;289,9;49;40;0;0
281,06;8,5;4570,18;8624;86;269,78;294,25;284,4;68;35;0;0
274,32;8,5;4326,11;8640;86;260,78;292,71;274,7;94;42;6;142
273,96;8,52;4412,78;8656;86;260,2;293,01;272,6;107;38;6;146
274,59;8,51;4439,22;8672;86;260,2;291,46;272,4;124;37;7;151
274,06;8,52;4454,94;8688;86;259,92;290,61;270,3;112;36;6;155
279,12;8,5;4554,58;8704;87;268,05;293,52;292;50;34;0;0
281,58;8,5;4574,69;8720;87;270,83;294,38;283;72;35;0;0
281,57;8,51;4525,28;8736;87;272,37;292,11;278,4;87;38;0;0
280,42;8,53;4549,67;8752;87;271,88;290,17;272,2;106;37;0;0
281,89;8,51;4496,79;8768;87;272,66;292;271,5;98;40;0;0
280,56;8,53;4492,47;8784;87;273,41;288,78;268,6;116;40;0;0
275,62;8,52;4419,93;8800;87;259,83;290,32;271,3;110;39;7;167
278,9;8,49;4567,98;8816;88;268,05;292,08;288,7;59;33;0;0
280,79;8,5;4560,43;8832;88;270,64;293,23;282,1;73;35;0;0
280,51;8,52;4560,9;8848;88;271,12;290,99;274,4;96;36;0;0
280,3;8,52;4555,83;8864;88;271,59;289,31;270,2;99;36;0;0
279,75;8,52;4507,7;8880;88;271,69;288,46;268,2;107;38;0;0
279,35;8,53;4434,22;8896;88;272,27;287,24;265,9;122;42;0;0
278,68;8,49;4464,57;8912;89;267,67;292,79;289,8;57;38;0;0
281,17;8,5;4528,45;8928;89;269,68;292,79;280,6;68;37;0;0
279,89;8,51;4543,09;8944;89;270,83;289,6;270,3;105;36;0;0
279,67;8,52;4491,25;8960;89;272,37;289,6;268,4;107;39;0;0
273,85;8,53;4345,02;8976;89;258,77;288,21;267,4;112;42;6;171
274,41;8,52;4421,99;8992;89;259,92;289,76;271;114;38;6;163
279,08;8,49;4466,61;9008;90;267,67;294,07;292,7;54;38;0;0
273,84;8,48;4415,51;9024;90;260;296,82;287,2;65;36;7;124
282,78;8,5;4633,41;9040;90;271,12;297,25;279,6;76;33;0;0
275,77;8,49;4436,69;9056;90;262,3;294,27;274,7;94;37;6;142
274,93;8,49;4442,35;9072;90;260,49;293,67;273,8;84;36;6;140
276,68;8,5;4459,99;9088;90;260,86;293,41;271,4;97;37;7;164
279,42;8,49;4515,52;9104;91;268,63;293,23;290;64;36;0;0
281,96;8,49;4638,38;9120;91;270,35;295,66;286,8;65;32;0;0
274,82;8,49;4453;9136;91;261,24;294,95;278,3;78;35;8;135
282,18;8,51;4557,37;9152;91;272,94;292,99;274,1;92;37;0;0
275,45;8,51;4427,93;9168;91;261,06;292,16;271,6;100;38;7;154
274,63;8,51;4378,89;9184;91;260,49;292,03;271,3;109;40;7;147
275,67;8,5;4448,36;9200;91;260,29;292;269;107;37;7;163
279,88;8,49;4639,31;9216;92;268,63;292,53;291,9;73;30;0;0
282,25;8,49;4558,46;9232;92;270,54;296,24;286,6;67;36;0;0
282,61;8,49;4604,76;9248;92;271,69;295,11;279;79;34;0;0
282,19;8,51;4578,22;9264;92;271,12;294,42;274,3;92;36;0;0
