"R_Med";"I_Med";"Energia";"Punti";"Ravv";"R_Fin";"R_Max";"R_Min";"T_Max";"T_Min";"Indice_Spruzzo";"T_Spruzzo"
280,21;8,51;4521,46;5727;57;270,07;291,54;283,6;80;37;0;0
281,23;8,5;4615,86;5743;57;271,51;293,83;277,7;86;33;0;0
280,85;8,51;4559,03;5759;57;271,79;291,31;270,9;102;36;0;0
280,55;8,52;4519,45;5775;57;273,13;289,47;267,8;107;38;0;0
274,79;8,52;4432,07;5791;57;261,44;289,76;266,1;120;38;6;165
278,76;8,49;4575,76;5807;58;267,77;292,06;290,6;54;32;0;0
281,32;8,5;4513,16;5823;58;270,54;294,82;284,1;70;38;0;0
280,96;8,5;4567,48;5839;58;271,69;290,42;276,6;91;35;0;0
275,31;8,5;4435,01;5855;58;261,73;293,98;272,4;89;37;7;146
275,86;8,5;4467,15;5871;58;260,2;292,13;267,8;98;36;7;167
279,46;8,53;4489,95;5887;58;273,05;287,93;264,2;125;39;0;0
274,55;8,52;4390,87;5903;58;258,48;287,93;263,1;122;40;7;186
278,26;8,49;4530,83;5919;59;266,9;291,22;286,7;60;34;0;0
279,03;8,5;4519,57;5935;59;268,24;289,08;279,3;75;36;0;0
281,77;8,5;4577,46;6329;63;270,26;295,95;285,4;68;35;0;0
282,1;8,51;4612,1;6345;63;271,4;294,97;278,3;81;34;0;0
282,36;8,51;4601,93;6361;63;272,55;294,7;273,7;88;35;0;0
282,39;8,52;4547,31;6377;63;272,55;292,16;271,6;108;38;0;0
281,91;8,52;4464,07;6393;63;272,66;291,87;271,8;102;42;0;0
271,11;8,49;4493,09;6409;64;258,19;292,79;288,2;63;30;7;122
280,26;8,5;4599,18;6425;64;269,68;292,37;280,9;73;33;0;0
274,04;8,52;4491,95;6441;64;260,12;291,72;275,3;90;34;6;143
280,25;8,52;4459,88;6457;64;271,98;289,88;269,5;113;41;0;0
280,38;8,53;4568,39;6473;64;272,66;290,32;268,2;111;36;0;0
272,69;8,53;4305,55;6489;64;259,71;288,37;262,2;133;43;6;163
278,36;8,49;4559,09;6505;65;267,1;291,06;286,7;62;33;0;0
280,22;8,5;4555,24;6521;65;270,35;291,38;280,6;77;35;0;0
281,09;8,52;4568,22;6537;65;272,08;291,43;274,7;104;36;0;0
280,45;8,52;4525,22;6553;65;272,66;290,74;269,4;105;38;0;0
274,94;8,51;4405,19;6569;65;260,29;291,18;267,2;111;39;7;162
274,5;8,54;4408,1;6585;65;260,2;288,25;266,3;124;40;6;178
274,17;8,52;4419,62;6601;65;259,71;287,93;266,7;118;38;7;175
270,83;8,49;4429,79;6617;66;257,91;291,32;289;49;33;7;129
280,11;8,5;4472,23;6633;66;269,11;292,5;283,4;68;39;0;0
281,29;8,5;4610,33;6649;66;271,79;290,71;278,1;83;33;0;0
281,17;8,52;4548,14;6665;66;271,98;290,71;271,3;94;37;0;0
281,03;8,53;4536,71;6681;66;272,55;290,04;270,3;107;38;0;0
280,62;8,53;4493,51;6697;66;271,98;288,74;270,1;102;40;0;0
278,28;8,49;4552,33;6713;67;267,1;290,62;288,3;56;33;0;0
280,7;8,5;4543,51;6729;67;269,39;293,36;283,4;69;36;0;0
280,28;8,51;4589,44;6745;67;270,93;291,12;273,4;90;34;0;0
279,94;8,52;4531,95;6761;67;271,02;289,6;269,7;110;37;0;0
279,75;8,53;4517,97;6777;67;272,84;288,17;268,2;107;38;0;0
279,31;8,53;4516,59;6793;67;271,69;288,65;265,8;118;38;0;0
278,51;8,5;4463,55;6809;68;267,1;295,07;294,2;54;38;0;0
281,45;8,49;4624,25;6825;68;269,49;295,09;286,2;64;32;0;0
282,01;8,5;4581,4;6841;68;271,51;294,97;275,7;78;35;0;0
282,55;8,49;4565,52;6857;68;272,37;295,39;273,7;86;36;0;0
282,37;8,51;4586,69;6873;68;271,88;293,41;272,1;88;36;0;0
282,69;8,51;4582,1;6889;68;272,66;295,12;270,1;89;36;0;0
